,Hotel Name,Room Price,Hotel Address,Hotel Facilities,Hotel Rating
0,Beach House Resort Goa,"₹ 18,275","The Beach House Goa Lane Behind Baywatch Resort, Prudential Landmarks, 403708 Benaulim, India","Spa
Fitness center
Room service
Restaurant
Non-smoking rooms
WiFi
Free parking
Beachfront
Airport shuttle
Breakfast","7.9
Scored 7.9"
1,Zulu Land cottages - near Curlies beach shack and shiva valley - Anjuna beach,"₹ 11,838","House No 774, St Michael Wado, Anjuna Beach, Anjuna, 403509 Anjuna, India","Free parking
Room service
Non-smoking rooms
Restaurant
Spa
Free WiFi
Fitness center
Bar
Breakfast","7.9
Scored 7.9"
2,Storii By ITC Hotels Moira Riviera,"₹ 42,996","Tin, Manas Bambordem Moira, Bardez, North Goa, 403507 Moira, India","2 swimming pools
Spa
Restaurant
Room service
Free parking
Free WiFi
Family rooms
Tea/Coffee Maker in All Rooms
Bar
Breakfast","8.5
Scored 8.5"
3,Lamrin Ucassaim Goa A 18th Century Portuguese Villa,"₹ 37,034","88/89, menezes waddo, near Elizabeth's church,, 403507 Moira, India","Outdoor swimming pool
Room service
Non-smoking rooms
Free parking
Free WiFi
Airport shuttle
Tea/Coffee Maker in All Rooms
Breakfast","9.1
Scored 9.1"
4,Ronnie's Studio Apartment,"₹ 12,298","Unnamed Road Near clove restaurant, 403511 Saligao, India","Indoor swimming pool
Free parking
Restaurant
Non-smoking rooms
Free WiFi
Airport shuttle
Spa
Family rooms","7.9
Scored 7.9"
5,Nirvana Hill Resort,"₹ 22,400","427/B Covatem Near to Curtorim lake, Curtorim, 403709 Curtorim, India","Outdoor swimming pool
Free parking
Free WiFi
Room service
Non-smoking rooms
Restaurant
Airport shuttle
Tea/Coffee Maker in All Rooms
Bar
Breakfast","8.5
Scored 8.5"
6,La Vera Boutique Hotel,"₹ 9,494","181(1)A, Madhalamaj, Mandrem, 403527 Mandrem, India","Outdoor swimming pool
Free parking
Room service
Non-smoking rooms
Restaurant
Free WiFi
Facilities for disabled guests
Family rooms
Tea/Coffee Maker in All Rooms
Good Breakfast","7.9
Scored 7.9"
7,Casa Do Leão A 150 year Old Portuguese Home,"₹ 20,800","House no 94/1-A Bairro Forta Vaddo, 403114 Nerul, India","Fast free Wifi 110 Mbps)
Free parking
Restaurant
Family rooms
Non-smoking rooms
Tea/Coffee Maker in All Rooms
Bar
Breakfast","9.5
Scored 9.5"
8,"TATA Rio De Goa - Resort style apt,6 KM from Airport","₹ 18,727","Tata Housing - Rio de Goa - Tower 6 , Flat no. 405, Vidya Nagar Colony, Near MES College 4, 403726 Chicalim, India","2 swimming pools
Free parking
Free WiFi
2 restaurants
Fitness center
Non-smoking rooms
Spa
Airport shuttle
Family rooms","8.0
Scored 8"
9,Calangute Ocean Wave,"₹ 5,500","5/75/A,Landmark-Maddo waddo,Calangute-403516,Calangute,Goa, 403515 Baga, India","Room service
Non-smoking rooms
Free WiFi
Free parking
Family rooms","8.4
Scored 8.4"
10,Hotel The G R S candolim,"₹ 5,184","golden rice hotel and cottages 1325, aradi candolim road waddo lane, north goa, India, pin 403515, 403515 Marmagao, India","Outdoor swimming pool
Free parking
Free WiFi
Room service
2 restaurants
Non-smoking rooms
Family rooms","6.8
Scored 6.8"
11,Mamagoa Beach Resort,"₹ 22,200","Mandrem Road, 403527 Mandrem, India","Free parking
Room service
Non-smoking rooms
Restaurant
Free WiFi
Fitness center
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Exceptional Breakfast","8.8
Scored 8.8"
12,All Seasons Guest House I Rooms & Dorms,"₹ 7,800","1st Floor, Krish Residency, Near Victor Hospital Malbhat, 403601 Madgaon, India","Free WiFi
Free parking
Family rooms
Non-smoking rooms
Airport shuttle (free)
Good Breakfast","8.3
Scored 8.3"
13,FabHotel Bay Boutique By Foxtale,"₹ 7,392","H. No S Y no 150/11, Calangute, 403516 Marmagao, India","Free WiFi
Room service
Non-smoking rooms
Family rooms
Breakfast","8.2
Scored 8.2"
14,Blue Lagoon Resort Goa,"₹ 14,494","Cola Beach, Matuemoll, Near Village Panchayat Cola, South Goa, 403702 Cola, India","Spa
Restaurant
Beachfront
Room service
Airport shuttle
Non-smoking rooms
Free parking
Free WiFi
Bar","8.1
Scored 8.1"
15,The Ivy Anjuna,"₹ 13,300","D'mello Vaddo, Near Starco Junction, 403509 Anjuna, India","Outdoor swimming pool (temporarily closed)
Free parking
Room service
Non-smoking rooms
Free WiFi
Family rooms
Airport shuttle
Tea/Coffee Maker in All Rooms
Bar
Breakfast","8.1
Scored 8.1"
16,"Storii By ITC Hotels, Shanti Morada Goa","₹ 48,747","8/123, Bairo Alto, Saligao, 403511 Calangute, India","Outdoor swimming pool
Spa
Room service
Restaurant
Non-smoking rooms
Free WiFi
Free parking
Tea/Coffee Maker in All Rooms
Bar
Good Breakfast","9.2
Scored 9.2"
17,Benirosa Homestay Apartments 2,"₹ 7,333","Velsao Beach Road, 403712 Velcao, India","Free parking
Free WiFi
Non-smoking rooms
Family rooms
Airport shuttle
Private beach area","9.6
Scored 9.6"
18,"ITC Grand Goa, a Luxury Collection Resort & Spa, Goa","₹ 49,125","263C, Arossim Beach, Cansaulim, 403712 Utorda, India","Outdoor swimming pool
Spa
Fitness center
Room service
Free parking
6 restaurants
Beachfront
Tea/Coffee Maker in All Rooms
Bar
Excellent Breakfast","8.8
Scored 8.8"
19,Palolem Beach View Inn,"₹ 15,200","Palolem Down Street, 403702 Palolem, India","Free parking
Room service
Non-smoking rooms
Restaurant
Free WiFi
Beachfront
Family rooms
Bar","7.2
Scored 7.2"
20,The Astor - All Suites Hotel Candolim Goa,"₹ 33,947","22 Candolim Beach Road The Astor Goa, 403515 Candolim, India","Outdoor swimming pool
Spa
Fitness center
Room service
3 restaurants
Non-smoking rooms
Free WiFi
Free parking
Bar
Breakfast","9.4
Scored 9.4"
21,Antarim Resort,"₹ 26,775","Pilerne - Candolim Road, Saipem, Candolim, Marra, 403515 Candolim, India","Outdoor swimming pool
Room service
Restaurant
Non-smoking rooms
Free WiFi
Free parking
Airport shuttle
Facilities for disabled guests
Tea/Coffee Maker in All Rooms
Breakfast","8.6
Scored 8.6"
22,Omkar wellness inn,"₹ 13,032","Near Narayan Temple, Khalchawada, 403524 Arambol, India","Free parking
Room service
Non-smoking rooms
Restaurant
Good free Wifi (50 Mbps)
Fitness center
Beachfront
Tea/Coffee Maker in All Rooms
Bar
Breakfast","8.0
Scored 8"
23,Hotel Casa De Patio,"₹ 8,700","Hotel Casa de patio In the Lane of TVS showroom, Near supreme by the wood, Porvorim,Goa, 403521 Porvorim, India","Outdoor swimming pool
Room service
Restaurant
Free WiFi
Free parking
Airport shuttle
Very Good Breakfast","7.9
Scored 7.9"
24,Caravela Beach Resort,"₹ 54,146","Varca Beach, Salcete, Goa, 403721 Varca, India","Outdoor swimming pool
Spa
Fitness center
Room service
Free parking
4 restaurants
Beachfront
Non-smoking rooms
Bar
Good Breakfast","8.2
Scored 8.2"
25,Ocean Wave - Calangute,"₹ 5,500","4/100/GF/A-001,Porba Vaddo, 403516 Calangute, India","Room service
Restaurant
Non-smoking rooms
Free WiFi
Free parking
Family rooms
24-hour front desk","8.2
Scored 8.2"
26,Calangute Turista,"₹ 6,363","H. No. E 3/72, Calangute Turista, Opp. Swizel Nook, Besides St Peters Chapel, Tivai Waddo, 403516 Calangute, India","Non-smoking rooms
Free WiFi
Free parking
Airport shuttle
Family rooms
24-hour front desk","8.0
Scored 8"
27,Skon Morjim Beach Resort by Orion Hotels,"₹ 14,297","JPHP+Q7P, near MadlaWada Football ground, Morjim, Goa 403512, 403512 Morjim, India","Outdoor swimming pool
Free parking
Room service
Restaurant
Facilities for disabled guests
Non-smoking rooms
Family rooms
Airport shuttle
Bar
Breakfast","7.5
Scored 7.5"
28,"SHANU'S SEASIDE INN - A Guesthouse, 100 metres to Candolim Beach","₹ 12,420","House 946, Shanu's Seaside Inn, Escrivao Vaddo, 403515 Candolim, India","Free WiFi
Beachfront","8.7
Scored 8.7"
29,Siolim Suites,"₹ 18,000","Near State Bank of India, Vagator-Morjim Bridge Road, 403517 Siolim, India","Free parking
Room service
Restaurant
Non-smoking rooms
Spa
Fast free Wifi 89 Mbps)
Airport shuttle
Family rooms
Bar
Excellent Breakfast","9.3
Scored 9.3"
30,"Holiday Inn Resort Goa, an IHG Hotel","₹ 38,296","Mobor Beach, Cavelossim, 403731 Cavelossim, India","Outdoor swimming pool
Spa
Fitness center
Room service
Free parking
Restaurant
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Excellent Breakfast","8.7
Scored 8.7"
31,"Aralea Beach Resort By Stone Wood, Morjim","₹ 39,500","Mandrem Road Pernem, Revenue Office Matreiz Predial, Survey No 214/3, Village Asuvem, Mandre, 403519 Morjim, India","Outdoor swimming pool
Free parking
Room service
Restaurant
Free WiFi
Non-smoking rooms
Family rooms
Tea/Coffee Maker in All Rooms
Bar
Breakfast","8.5
Scored 8.5"
32,Arize You Home,"₹ 6,346","Parra House No. 277, Near Vianaar El Raso, 403510 Verla, India","Free parking
Free WiFi","8.0
Scored 8"
33,Blu Missel By The River,"₹ 13,860","Fondvem Ribandar, 403006 Panaji, India","Non-smoking rooms
Room service
Free WiFi
Free parking
Family rooms
24-hour front desk
Breakfast","7.7
Scored 7.7"
34,Infiniti Bay Private Pool Villa,"₹ 52,000","Infiniti Bay, Behind NSD, Jairam Nagar, Dabolim, 403801 Dabolim, India","2 swimming pools
Non-smoking rooms
Free WiFi
Free parking
Family rooms","8.1
Scored 8.1"
35,Grand Hyatt Goa,"₹ 40,200","P.O.Goa University, 403206 Bambolim, India","Outdoor swimming pool
Spa
Fitness center
Room service
Free parking
5 restaurants
Non-smoking rooms
Tea/Coffee Maker in All Rooms
Bar
Excellent Breakfast",
36,"Taj Cidade de Goa Horizon, Goa","₹ 52,996","Vainguinim Beach, Dona Paula, Panaji, North Goa, Goa, 403004 Panaji, India","2 swimming pools
Fitness center
Non-smoking rooms
Room service
Spa
2 restaurants
Free WiFi
Bar
Beachfront
Wonderful Breakfast","9.3
Scored 9.3"
37,Baga beach front,"₹ 15,120","house no 7/2401, Saunta Vaddo, Baga Beach calangute , 403516 Baga, India","Room service
Restaurant
Non-smoking rooms
Fast free Wifi 86 Mbps)
Free parking
Beachfront
Airport shuttle
Tea/Coffee Maker in All Rooms
Bar
Breakfast","8.8
Scored 8.8"
38,Westwood Residence Goa - The Boutique Hotel,"₹ 19,360","264/80 Alto Savleo Pilerne Bardez Goa, 403114 Mapusa, India","Outdoor swimming pool
Free parking
Free WiFi
Room service
Non-smoking rooms
Family rooms
Bar
Breakfast","8.5
Scored 8.5"
39,juSTa Morjim Beach Resort Goa - 80 Steps from Morjim Beach,"₹ 35,996","Vithaldaswada, Morjim, 403512 Morjim, India","Outdoor swimming pool
Free parking
Room service
Restaurant
Free WiFi
Facilities for disabled guests
Non-smoking rooms
Tea/Coffee Maker in All Rooms
Bar
Breakfast","7.5
Scored 7.5"
40,"Relax Holiday Home,Margao Railway station","₹ 9,720","Near Pandurang Mandir,Aquem,Margao,Goa, 403601 Madgaon, India","Free WiFi
Free parking
Room service
Family rooms
Airport shuttle
Breakfast","8.3
Scored 8.3"
41,Resort Palmeiras Dourado,"₹ 13,200","258/2, Primeiro Vaddo Velsao, P.O. Cansaulim, South Goa, Goa, 403712 Cansaulim, India","Outdoor swimming pool
Room service
Free parking
2 restaurants
Non-smoking rooms
Facilities for disabled guests
Free WiFi
Tea/Coffee Maker in All Rooms
Bar
Very Good Breakfast","8.4
Scored 8.4"
42,La Grace Resort,"₹ 13,996","Vaswaddo, Benaulim Salcete, 403716 Benaulim, India","Outdoor swimming pool
Spa
Fitness center
Room service
Restaurant
Non-smoking rooms
Free WiFi
Free parking
Bar
Good Breakfast","8.2
Scored 8.2"
43,Heritage Village Resort & Spa Goa,"₹ 38,996","Arossim Beach, 403612 Cansaulim, India","Outdoor swimming pool
Spa
Fitness center
Room service
Free parking
3 restaurants
Non-smoking rooms
Tea/Coffee Maker in All Rooms
Bar
Very Good Breakfast","8.7
Scored 8.7"
44,Hyatt Place Goa Candolim,"₹ 22,688","Baman Vaddo, Fort Aguada Road, Bardez, 403515 Candolim, India","Outdoor swimming pool
Fitness center
Room service
3 restaurants
Non-smoking rooms
Free WiFi
Facilities for disabled guests
Bar
Tea/Coffee Maker in All Rooms
Very Good Breakfast","8.6
Scored 8.6"
45,Madrid Home 2 min walk to Beach,"₹ 5,920","House No 261, Socoillo Vado, Arambol Beach Road, 403524 Arambol, India","Parking
Non-smoking rooms
Free WiFi
Family rooms
Airport shuttle (free)","8.5
Scored 8.5"
46,Crystall Goa Emerald Edition,"₹ 16,740","House Number 33, Near Car Parking Stand, Market Road, Patnem Beach, 403702 Patnem, India","Outdoor swimming pool
Private Parking
Room service
Non-smoking rooms
Restaurant
Free WiFi
Airport shuttle
Good Breakfast","8.0
Scored 8"
47,Beleza By The Beach,"₹ 93,744","Colva Beach, Thondvaddo, 403708 Colva, India","2 swimming pools
Spa
Fitness center
Room service
2 restaurants
Non-smoking rooms
Free WiFi
Free parking
Bar
Excellent Breakfast","8.9
Scored 8.9"
48,Fairfield by Marriott Goa Calangute,"₹ 21,096","H No 1/72C, Gaurawaddo, 403516 Calangute, India","Outdoor swimming pool
Spa
Fitness center
Room service
Restaurant
Non-smoking rooms
Free WiFi
Tea/Coffee Maker in All Rooms
Bar
Excellent Breakfast","8.3
Scored 8.3"
